"","OfferContactDate","CustomerID","ApplianceID","Brand","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"108","09/03/2017",6812,6586,"A","B","F","FZ",2,0,1,"A",1,8.2
"109","09/03/2017",13918,14254,"A","B","F","AW",3,0,1,"A",1,8.67
"110","09/03/2017",8913,8976,"A","B","F","OV",3,2,5,"A",2,8.71
"111","09/03/2017",14514,14929,"A","B","E","TD",2,0,0,"A",2,8.99
"112","09/03/2017",11859,12066,"A","B","F","FZ",3,0,6,"A",4,8.49
"113","09/03/2017",4990,4319,"A","B","F","DW",4,0,3,"A",2,8.63
"114","09/03/2017",6098,5713,"A","B","G","TD",4,1,8,"A",3,8.97
"115","09/03/2017",1970,606,"A","B","E","DW",2,0,19,"A",3,8.14
"116","09/03/2017",179,15229,"A","A","E","AW",3,0,12,"A",3,8.28
"117","09/03/2017",11711,11911,"A","B","E","AW",3,0,2,"A",2,8.8
"118","09/03/2017",1378,13792,"A","A","F","FF",2,0,6,"A",2,8.86
"119","09/03/2017",6324,5990,"A","B","E","DW",2,0,1,"A",1,8.02
"120","09/03/2017",10955,11131,"A","B","F","FZ",3,1,2,"A",2,8.96
"121","14/03/2017",14713,15300,"A","B","F","FF",3,1,1,"A",2,8.68
"122","09/03/2017",7102,6930,"A","B","F","FF",2,0,2,"A",2,8.23
"123","09/03/2017",6930,6726,"A","B","F","DW",3,0,5,"A",2,8.95
"124","09/03/2017",2321,1043,"A","B","G","AW",2,3,17,"A",6,8.1
"125","09/03/2017",12121,12343,"A","B","F","AW",2,0,2,"A",2,8.18
"126","09/03/2017",6452,6155,"A","B","F","FF",2,0,1,"A",1,8.28
"127","09/03/2017",7374,7238,"A","C","F","FZ",2,1,2,"A",5,8.18
"128","09/03/2017",2809,1643,"A","B","F","FR",2,10,50,"A",8,8.49
"129","09/03/2017",3138,2042,"A","B","F","AW",2,0,9,"A",3,8.78
"130","09/03/2017",8849,8907,"A","B","D","FF",3,2,1,"A",3,8.44
"131","09/03/2017",8489,8506,"A","B","E","FF",3,0,1,"A",1,8.53
"132","09/03/2017",1060,5890,"A","B","F","AW",2,0,2,"A",2,8.31
"133","09/03/2017",508,2261,"A","C","E","DW",2,0,3,"A",2,8.96
"134","09/03/2017",10978,11156,"A","B","E","FF",3,2,2,"A",3,8.64
"135","14/03/2017",13963,14304,"A","B","D","AW",3,1,0,"A",1,8.77
"136","09/03/2017",8884,8946,"A","B","F","AW",2,0,5,"A",4,8.16
"137","09/03/2017",8228,8215,"A","B","F","FF",2,0,1,"A",1,8
"138","09/03/2017",7639,7543,"A","A","F","FF",3,1,2,"A",5,8.98
"139","14/03/2017",14620,15147,"A","B","F","OV",3,0,1,"A",1,8.05
"140","09/03/2017",7316,7172,"A","A","F","CK",4,1,4,"A",5,8.65
"141","09/03/2017",11390,11581,"A","B","E","WD",4,0,5,"A",4,8.88
"142","09/03/2017",8935,9002,"A","C","F","FR",5,0,1,"A",1,8.65
"143","09/03/2017",3283,2224,"A","B","E","WD",4,1,1,"A",1,8.1
"144","09/03/2017",3554,2551,"A","A","E","FR",3,0,7,"A",4,8.38
"145","09/03/2017",11825,12030,"A","B","F","FZ",2,0,1,"A",1,8.05
"146","09/03/2017",6415,6107,"A","B","F","FR",2,1,1,"A",2,8.51
"147","09/03/2017",2345,1075,"A","B","D","CK",5,0,1,"A",1,8.65
"148","09/03/2017",12019,12235,"A","B","F","AW",3,0,1,"A",1,8.94
"149","09/03/2017",1396,14836,"A","A","F","TD",2,0,3,"A",4,8.43
"150","09/03/2017",13242,13525,"A","B","F","TD",3,0,2,"A",2,8.49
"151","09/03/2017",9178,9263,"A","B","F","AW",3,1,5,"A",2,8.01
"152","09/03/2017",8129,8108,"A","A","B","FR",3,0,1,"A",2,8.1
"153","09/03/2017",4566,3799,"A","B","F","AW",2,0,1,"A",3,8.59
"154","09/03/2017",6421,6115,"A","B","E","FF",5,0,2,"A",2,8.06
"155","09/03/2017",7171,7005,"A","B","E","FF",3,0,6,"A",2,8.25
"156","09/03/2017",2421,1166,"A","B","E","AW",3,3,11,"A",2,8.34
"157","09/03/2017",7696,7607,"A","A","F","TD",2,0,1,"A",2,8.16
"158","09/03/2017",1030,5660,"A","B","F","FZ",2,0,10,"A",2,8.2
"159","09/03/2017",3832,2899,"A","B","F","FR",3,0,1,"A",1,8.27
"160","09/03/2017",2864,1714,"A","B","F","FZ",2,0,1,"A",1,8.92
"161","09/03/2017",3926,3019,"A","B","F","FF",6,0,2,"A",3,8.1
"162","09/03/2017",13600,13911,"A","B","E","DW",2,0,1,"A",1,8.8
"163","09/03/2017",6310,5968,"A","B","F","AW",2,0,1,"A",1,8.29
"164","09/03/2017",12351,12587,"A","B","F","AW",3,0,3,"A",3,8.75
"165","14/03/2017",14911,121,"A","B","E","AW",3,0,0,"A",1,8.69
"166","09/03/2017",5788,5337,"A","B","F","FF",2,2,3,"A",1,8.22
"167","09/03/2017",881,4775,"A","A","F","AW",3,4,11,"A",3,8.04
"168","06/03/2017",4650,3903,"A","B","E","AW",3,0,1,"A",4,8.89
"169","09/03/2017",11756,11959,"A","B","F","FZ",3,0,1,"A",1,8.25
"170","09/03/2017",4679,3938,"A","B","G","AW",3,1,7,"A",1,8.39
"171","09/03/2017",10830,11002,"A","B","E","AW",2,0,6,"A",3,8.49
"172","09/03/2017",12983,13245,"A","B","E","FF",6,0,1,"A",1,8.48
"173","09/03/2017",13132,13403,"A","B","F","AW",2,1,1,"A",1,8.19
"174","09/03/2017",5463,4916,"A","B","F","DW",2,2,20,"A",2,8.04
"175","09/03/2017",5307,4718,"A","C","E","FZ",2,0,1,"A",1,8.94
"176","09/03/2017",13593,13902,"A","B","F","FF",3,0,3,"A",3,8.67
"177","09/03/2017",10976,11154,"A","B","F","OV",2,0,1,"A",1,8.89
"178","09/03/2017",11929,12140,"A","B","D","AW",2,0,2,"A",2,8.47
"179","09/03/2017",8977,9050,"A","B","F","FZ",1,0,1,"A",2,8.64
"180","09/03/2017",13671,13989,"A","B","E","WD",4,0,1,"A",1,8.86
"181","09/03/2017",4052,3175,"A","B","F","CK",3,1,6,"A",2,8.07
"182","09/03/2017",2564,1336,"A","B","F","AW",3,0,12,"A",2,8.42
"183","09/03/2017",13477,13781,"A","B","F","HB",2,0,2,"A",2,8.39
"184","09/03/2017",7207,7048,"A","A","F","AW",2,0,5,"A",2,8.64
"185","09/03/2017",13369,13658,"A","B","D","AW",2,0,1,"A",1,8.19
"186","09/03/2017",2535,1300,"A","B","F","AW",2,0,1,"A",1,8.74
"187","09/03/2017",12124,12346,"A","B","F","FF",2,0,1,"A",1,8.4
"188","09/03/2017",11754,11957,"A","B","D","TD",2,0,1,"A",1,8.37
"189","09/03/2017",14104,14451,"A","B","E","OV",3,1,6,"A",5,8.02
"190","09/03/2017",7965,7916,"A","B","E","OV",2,0,1,"A",1,8.37
"191","09/03/2017",11641,11840,"A","B","F","AW",2,0,1,"A",1,8.85
"192","09/03/2017",5420,4867,"A","B","F","FF",3,1,11,"A",3,8.5
"193","09/03/2017",1344,8725,"A","B","E","FF",4,1,15,"A",2,8.27
"194","09/03/2017",13906,14241,"A","B","F","AW",2,0,1,"A",1,8.75
"195","09/03/2017",3904,2993,"A","A","F","FF",2,0,2,"A",1,8.74
"196","09/03/2017",8701,8738,"A","B","F","DW",2,0,12,"A",5,8.7
"197","09/03/2017",1463,14990,"A","B","E","FZ",2,4,3,"A",4,8.12
"198","09/03/2017",12971,13233,"A","B","D","WD",3,0,2,"A",2,8.49
"199","09/03/2017",4392,3596,"A","B","E","FF",7,2,4,"A",3,8.63
"200","09/03/2017",12360,12596,"A","B","F","AW",3,0,2,"A",3,8.36
"201","09/03/2017",3687,2715,"A","B","G","AW",2,2,4,"A",2,8.67
"202","09/03/2017",2954,1822,"A","A","F","AW",2,0,1,"A",1,8.09
"203","14/03/2017",7434,7308,"A","B","G","FF",3,1,0,"A",1,8.56
"204","09/03/2017",14991,257,"A","B","E","CK",10,0,5,"A",4,8.56
"205","09/03/2017",2415,1159,"A","A","E","FR",1,3,11,"A",5,8.15
"206","09/03/2017",7461,7343,"A","B","D","CK",3,0,1,"A",1,8.12
"207","09/03/2017",8220,8206,"A","B","E","FF",4,0,1,"A",1,8.95
"208","09/03/2017",1711,269,"A","B","G","FF",3,0,4,"A",1,8.13
"209","09/03/2017",3504,2493,"A","A","E","FF",4,0,5,"A",2,8.89
"210","09/03/2017",11690,11890,"A","B","F","CK",4,0,1,"A",1,8.87
"211","09/03/2017",14266,14617,"A","B","F","WD",4,1,2,"A",1,8.38
"212","09/03/2017",1337,8530,"A","A","E","FZ",2,0,2,"A",4,8.26
"213","06/03/2017",14902,112,"A","B","F","DW",3,0,0,"A",1,8.54
"214","09/03/2017",14137,14484,"A","B","E","CK",4,0,1,"A",1,8.6
"215","09/03/2017",12716,12965,"A","B","G","TD",2,0,1,"A",1,8.74
"216","09/03/2017",4253,3419,"A","B","F","AW",2,1,6,"A",1,8.63
"217","09/03/2017",11008,11187,"A","B","F","OV",2,2,5,"A",4,8.71
"218","09/03/2017",14192,14542,"A","B","D","OV",2,0,1,"A",1,8.19
"219","09/03/2017",14197,14548,"A","B","E","DW",2,1,1,"A",1,8.7
"220","09/03/2017",4702,3967,"A","C","F","CK",3,6,14,"A",4,8.62
"221","09/03/2017",3607,2616,"A","B","F","FF",4,3,13,"A",4,8.56
"222","09/03/2017",2191,877,"A","B","E","FF",2,1,6,"A",5,8.79
"223","09/03/2017",4449,3663,"A","B","F","FZ",3,0,1,"A",1,8.55
"224","14/03/2017",7312,7168,"A","B","E","TD",2,1,6,"A",2,8.07
"225","14/03/2017",13852,14182,"A","B","F","DW",3,2,1,"A",1,8.05
"226","09/03/2017",7322,7180,"A","B","F","AW",3,0,2,"A",1,8.4
"227","09/03/2017",3524,2515,"A","A","F","DW",2,3,10,"A",6,8.3
"228","09/03/2017",659,3296,"A","C","F","AW",2,0,1,"A",2,8.72
"229","09/03/2017",5832,5390,"A","B","F","AW",2,2,11,"A",3,8.31
"230","09/03/2017",13087,13354,"A","B","F","FF",5,0,2,"A",2,8.98
"231","09/03/2017",4806,4099,"A","B","E","AW",2,0,1,"A",2,8.83
"232","09/03/2017",1747,316,"A","B","F","AW",2,0,1,"A",1,8.16
"233","09/03/2017",5205,4584,"A","B","E","FZ",3,2,8,"A",2,8.95
"234","09/03/2017",10803,10973,"A","B","E","OV",2,0,2,"A",2,8.21
"235","09/03/2017",5424,4871,"A","B","F","AW",2,0,2,"A",2,8.82
"236","09/03/2017",11413,11605,"A","B","G","FF",2,0,1,"A",1,8.12
"237","09/03/2017",11409,11601,"A","B","F","CK",3,0,1,"A",1,8.04
"238","09/03/2017",8045,8012,"A","B","E","HB",2,0,7,"A",4,8.07
"239","09/03/2017",6022,5616,"A","B","F","FF",3,0,2,"A",2,8.07
"240","09/03/2017",6371,6053,"A","C","E","AW",3,3,8,"A",5,8.4
"241","09/03/2017",4218,3373,"A","B","G","CK",2,0,2,"A",1,8.8
"242","14/03/2017",8477,8491,"A","B","D","AW",5,2,6,"A",3,8.78
"243","09/03/2017",13709,14031,"A","B","D","AW",3,0,1,"A",1,8.26
"244","09/03/2017",1879,493,"A","B","E","OV",4,0,4,"A",5,8.03
"245","09/03/2017",5786,5334,"A","B","F","CK",3,0,1,"A",1,8.8
"246","09/03/2017",2828,1671,"A","B","F","FF",2,0,1,"A",1,8.27
"247","09/03/2017",6001,5591,"A","A","E","AW",3,0,2,"A",4,8.16
"248","06/03/2017",1759,332,"A","B","E","CK",2,55,286,"A",84,8.05
"249","09/03/2017",6493,6201,"A","B","F","AW",2,0,1,"A",1,8.99
"250","14/03/2017",14062,14406,"A","B","E","DW",2,1,0,"A",1,8.61
"251","09/03/2017",12129,12351,"A","B","F","CK",3,0,1,"A",1,8.58
"252","09/03/2017",13923,14259,"A","B","E","FF",3,0,1,"A",1,8.17
"253","09/03/2017",6648,6391,"A","B","F","AW",3,0,2,"A",1,8.89
"254","09/03/2017",8900,8962,"A","A","E","AW",2,0,2,"A",2,8.84
"255","09/03/2017",6858,6641,"A","A","D","FF",2,0,5,"A",5,8.34
"256","09/03/2017",1437,14960,"A","B","F","FZ",4,0,7,"A",6,8.39
"257","09/03/2017",3382,2343,"A","B","F","AW",2,0,2,"A",2,8.86
"258","09/03/2017",7075,6896,"A","B","F","WD",4,1,10,"A",4,8.43
"259","09/03/2017",5175,4548,"A","A","F","AW",3,0,7,"A",1,8.54
"260","09/03/2017",13951,14291,"A","B","F","HB",3,0,2,"A",1,8.02
"261","09/03/2017",7517,7409,"A","B","F","DW",3,0,1,"A",1,8.22
"262","09/03/2017",4368,3562,"A","B","F","AW",2,0,1,"A",1,8.11
"263","09/03/2017",3813,2873,"A","B","E","FZ",3,1,5,"A",1,8.53
"264","09/03/2017",12373,12609,"A","B","E","FR",2,2,2,"A",2,8.9
"265","09/03/2017",11514,11710,"A","B","E","FF",6,0,1,"A",1,8.5
"266","09/03/2017",2184,866,"A","B","F","FR",2,2,15,"A",3,8.05
"267","09/03/2017",885,4792,"A","B","F","FF",3,0,1,"A",1,8.85
"268","09/03/2017",12043,12262,"A","B","E","FF",3,0,2,"A",3,8.31
"269","06/03/2017",9276,9368,"A","B","F","DW",2,0,2,"A",2,8.57
"270","09/03/2017",2235,931,"A","A","F","FF",3,2,4,"A",4,8.34
"271","09/03/2017",847,4594,"A","A","E","DW",2,1,16,"A",6,9
"272","09/03/2017",1438,14961,"A","B","E","AW",2,3,10,"A",7,8.96
"273","09/03/2017",5279,4682,"A","A","E","WD",4,0,14,"A",3,8.7
"274","09/03/2017",2230,925,"A","A","E","TD",2,2,10,"A",7,8.68
"275","09/03/2017",4094,3222,"A","A","E","FF",5,1,11,"A",2,8.05
